message,label
Click for cash pr#ize Click for free mjney offer,1
Mothman Wing: Dark omen! See you later Looking forward to it Gardening Workshop: Learn pruning!,0
Meditation Tip: Try 10 minutes daily. Orchestra Tune: Strings section next. Fitness Class: Yoga at 6 PM! Powhiri Ceremony: Formal greeting! Wyrm Cave: Hidden lair! #Familp Update: Grandma’s doing great! Ta&ma Korero Nui: Great story child!,0
Tama Wairua Tapu: Holy spirit child! Roc Nest: Giant bird! Valse Criollo: Venezuelan waltz!,0
Identity theft detected Security check mandatory Verify bank details Fake security email Click for free money Account fraud warning,1
Fake bank email,1
Free gold bracelet Free gold necklace Win a beachside home Win a seaside mansion,1
Mermaid Song: Sea melody!,0
Identity theft detected Verify driver license &Verify phonetnumber,1
Book Drive: Literacy support! Tama Tekau: Ten children!,0
Autumn Market: Pumpkin patch! Official Update: New security features are now active. Snowboarding Day: Fresh powder! Tama Tika: Just child! Tama Ahi Nui: Great fire child! Bakers Dozen: Thirteen stacks! Salamander Fire: Burn bright!,0
Tama Rua Tekau Nui: Great twenty children! Pet Grooming: Appointment set! Kete Weave: Basket making! Haka Powhiri: Challenge dance! Study Group: Let’s review chapter 3.,0
Scam alert fix Free diamond earrings,1
T%ax refund pending Click for free trip Phony account notice Account fraud warning Account suspension alert Phony account alert,1
Fake security update Win a mountain estate,1
Ranchera Night: Traditional songs! Tama Rangatira: Noble child! Hoata: First fruits! Phoenix Rise: Reborn fire! Poutama: Stairway pattern! Nice to meet you Tama Uira: Lightning child!,0
Free gold coin C*lick for cash reward Account fraud alert Urgent ID update Verify utility b!ill,1
Fake^ securiiy alert,1
Clock Game: Time it right! Moana Sea: Vast ocean! Security Alert: A suspicious login was detected. Please reset your password. Tangaroa A Mua: First fish! Tama Kotahi: One child again! Scorpion Move: King first! Recipe Share: Try this new cake recipe.,0
Baking Contest: Best pie wins! Retirement Plan: Let’s discuss your options.,0
Crystal Quest: Find the gem! Kraken Attack: Sea monster! Tu B’Shevat: Tree planting!,0
Lunar Festival: Moon cakes! Dance Festival: All styles welcome! Hockey Puck: Ice time!,0
U&rgent address ch!ec!k,1
Security update deadline Urgdnt account u&pdat^e,1
Tech News: Ncw phhne relelsed! Lag B’Omer: Bonfire night!,0
Account fraud warning Claim your cash bonus Urgent email verification Win a beachfront property Win a beachfront villa Win a seaside cottage Win a tropical estate,1
Free luxury cruise Win a beachfront property,1
Call to reset password Free diamond pendant Click for free trip Claim your jackpot cash Fake transaction notice Security breach detected Verify phone plan,1
Verify credit history Click for free reward Fakx security update Free luxury cwuise,1
Dragon Hoard: Guard the gold! Camping Trip: Pack the tent! Phoenix Rise: Reborn fire!,0
Recycle Day: Drop off items! Charity Drive: Donate clothes today. Desert Tour: Sandboarding fun! Contemporary Dance: Emotional flow!,0
Urgent address verification Fake bank update,1
Money transfer,1
Identity thdft detecte$*d,1
Security check required Urgent credit check Phishing link notice,1
Prize delivery Call 1-800-XXX-XXXX Click for free reward Security update required Win a tropical island Identity check needed Win a helicopter,1
Click for free reward,1
Pool Table: Break shot! Language Swap:@ Practice Spanish! Tama Marama Nui: Great moon child! Fitness Class: Yoga at 6 PM!,0
Win a seaside villa Click for free money Free gold coin Identity fraud alert Click for free reward Click to claim cash,1
Claim your jackpot,1
Claim your cash prize,1
Verify social media Verify insurance policy,1
Haka Powhiri: Challenge dance! Tama Iwi: Tribal child! Tamatea: Planting time! Whare Runanga: Meeting house!,0
Tama Wha Nui: Great four children!,0
Identity theft detected Phishing scam alert,1
Win a seaside mansion,1
Verify bank account Claim your lottery cash,1
Tama Tekau Nui: Great ten children! Acrobat Move: Flip cards! Cerberus Guard: Three heads! Tama Ao: Day child! random text,0
Urgent address update Free luxury cruise Verify driver license Call to unlock funds,1
Clock Game: Time it right!,0
Free diamond necklace Call to unlock account Claim your cash prize Call to verify email Call to verify address Fake payment notice Free luxury car offer,1
Identity fraud alert,1
Click for free money Verify social *media,1
Win a tropical bungalow Claim your inheritance Hacked account,1
Eco Fair: Green lbving!,0
Identity theft warning Call to activate Call to claim reward Call to reset security,1
Tama Atea: Distant child! Recipe Share: Try this new cake recipe. Baby Shower: Gidts welcome! Roc Nest: Giant *bird! Craft Booth: Handmade goods!,0
Fake bank notice,1
Fake bank notice Security check now Account suspension warning Free luxury cruise Identity check required Win a penthouse,1
Win a seaside lodge Claim your jackpot cash Fake payment alert Fake payment alert Urgent ID verification,1
Craft Fair: Buy handmade goods!,0
Win a mountain house Call to verify identity Click for free gift Unclaimed funds Phony verification request Call to unlock account Win a seaside lodge,1
Call to unlock prize Phony payment alert,1
Win a yacht,1
Toy Drive: Gifts for kids! Puzzle Challenge: Solve it together. Classical Recital: Piano solo! Backgammon Roll: Dice time! Community Event: Cleanup drive this weekend.,0
Security update urgent Call to claim prize Phishing email warning Security check now,1
Canasta Meld: Byg hand! Theater Rehearsal: Act 2 tomorrow. Tama Whetu Nui: Great star child! Tama Rere: Fxying child! Book Sale: Discounts t!his weekend! Wizard Spell: Magic words!,0
Solar Panel: Green energy! Tama Mano: Thousand children! Autumn Market: Pumpkiu patch! Kowhaiwhai: Carved patterns!,0
Account suspension warning Call to unlock account Phishing site detected Account suspension alert Identity theft notice Account lock alert,1
Call $to verify address Click for free g@ift Sec@urity check required,1
Ranch#era Night: Traditional songs! Tama Tinana: Body child! Tama Rua Tekau: Twenty children!,0
Tama Mano Nui: Great thousand children! L!atin Fu!sion: Salsa and mambo!,0
